Wavenumber (cm⁻¹),Importance,sample_type,train_percentage,test_name,target_variable,accuracy,model,search_type
2871.50623632947,0.0012171079629693,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2869.577756654299,0.0012016994171243,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2867.649276979128,0.0011843125793687,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2865.720797303957,0.001161189970044,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2863.792317628786,0.0011311882055265,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2861.863837953616,0.0011019852899025,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2859.935358278445,0.0010815397487161,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2858.006878603273,0.0010734426710445,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2856.078398928103,0.0010773521138122,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2854.149919252932,0.0010861413183384,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2852.221439577761,0.0010975737852999,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2850.29295990259,0.0011127752107024,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2848.364480227419,0.0011240815426426,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2846.436000552248,0.0011269450394998,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2844.507520877077,0.0011242300070765,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2842.579041201906,0.0011102018660382,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2840.650561526736,0.001081779890214,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2838.722081851565,0.0010484847814057,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2836.793602176394,0.0010183825200901,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2834.865122501223,0.001002483331109,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2832.936642826052,0.0010100608405301,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2831.008163150881,0.0010319267197367,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2829.07968347571,0.0010532527337257,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2827.151203800539,0.0010670621943645,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2825.222724125369,0.0010774083085399,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2823.294244450197,0.0010887822362152,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2821.365764775026,0.0010844481476872,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2819.437285099856,0.0010612676771123,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2817.508805424685,0.0010430587481395,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2815.580325749514,0.0010218357957131,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2813.651846074343,0.0010035126231736,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2811.723366399172,0.00102941585153,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2809.794886724001,0.0010654415606652,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2807.86640704883,0.0010675407077799,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2805.937927373659,0.001061843694671,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2804.009447698489,0.0010561209115241,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2802.080968023317,0.0010598132098874,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2800.152488348147,0.0010839363693541,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2798.224008672976,0.0010786854297738,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2796.295528997805,0.0010467414770036,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2794.367049322634,0.0010546167321602,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2792.438569647463,0.0010915591647785,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
