Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²,run_id,run_name
1631.493805194581,0.011040338569843499,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.002406572962034,4.648946350373901,11.56248806889571,0.3046406716326975,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1633.422284869752,0.011017689077496342,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.002406572962034,4.648946350373901,11.56248806889571,0.3046406716326975,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1635.350764544923,0.010828763694750434,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.002406572962034,4.648946350373901,11.56248806889571,0.3046406716326975,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1562.068536888429,0.010365806381756609,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.002406572962034,4.648946350373901,11.56248806889571,0.3046406716326975,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
1629.56532551941,0.010198437691830573,respiratorycompensation_relative,CAPILAR,0.8,MLP Regressor,GridSearchCV,6.002406572962034,4.648946350373901,11.56248806889571,0.3046406716326975,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2549.45013057593,0.00362439107054421,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2547.521650900759,0.0036197663519446253,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2535.950772849733,0.0036172882296941033,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2534.022293174562,0.0036128861189819836,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2551.378610251101,0.0036124208755893158,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2537.879252524904,0.0036118018394552345,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2545.593171225588,0.003603812962570165,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2532.093813499392,0.003603110181274646,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2561.021008626955,0.0036000811927835575,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2553.307089926272,0.0035995477109030923,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2539.807732200075,0.0035994925259924923,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2559.092528951784,0.00359855891561627,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2568.734927327639,0.0035969946464377753,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2570.663407002809,0.003596710928029512,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
2530.165333824221,0.0035956858884892565,respiratorycompensation_relative,PLASMA,0.8,MLP Regressor,GridSearchCV,7.56565115832894,6.279447976795816,16.100613975261787,0.1984880332449308,b37447e20c42465abed6181af89e0309,experiment_linear_respiratorycompensation_relative
