Wavenumber (cm⁻¹),Importance,target_variable,Sample Type,Train Percentage,Model,Search Type,RMSE,MAE,MAPE,R²
948.812000184083,0.005788635466236152,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
954.5974392095954,0.005787968564841296,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
935.3126424578863,0.00559803479608198,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
946.8835205089117,0.00552935392252534,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
956.5259188847667,0.00539500470205827,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
937.2411221330576,0.005329393746772054,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
944.9550408337414,0.00524068490611883,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
939.1696018082284,0.0050785185613218395,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
943.0265611585701,0.005053937768071014,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
958.4543985599371,0.0049883907743709785,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
941.0980814833993,0.004981567144801236,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
1045.235983942628,0.004685904957795589,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
1043.307504267457,0.004653060950143093,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
1041.379024592286,0.004640474991135717,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
1047.164463617799,0.004625378251957075,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,465.9354910497766,399.0202450856573,17.119041913796643,-0.2572306690853454
1286.29594333899,0.012466393852263398,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1288.224423014161,0.00965482037207437,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1282.438983988648,0.008164379982123536,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
952.6689595344246,0.00807781328525281,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
933.3841627827155,0.0075045035516544956,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1058.735341668824,0.007419268428818457,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1054.878382318482,0.006954708838844105,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1110.804292898438,0.006700008017529925,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
966.1683172606208,0.0064561073860270055,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
2628.517797257937,0.00605150074933428,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1531.212862085695,0.005807964324946886,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
946.8835205089117,0.00576232799356852,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1764.558902781373,0.005670960660969999,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
948.812000184083,0.005643909432194651,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1303.652260415528,0.00532098271669427,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
1114.66125224878,0.005025609302230813,anaerobicthreshold_absolute,URINE,0.8,Random Forest Regressor,GridSearchCV,420.04187933558757,359.3662694059963,15.574033821382342,-0.02175922472493097
