Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight,fit_kwargs,model_kwargs
URINE,0.8,Random Forest Regressor (BayesSearchCV),9.629577558025844,7.484434703976163,19.00208080645875,0.0046243466674062,,,,,,vo2max_relative,,10.0,,300.0,5.0,2.0,,,,,,True,,,,
URINE,0.8,Random Forest Regressor (BayesSearchCV),10.269161489468578,7.994691228092336,20.15133962270077,-0.1319897906345024,,,,,,vo2max_relative,,11.0,,285.0,1.0,2.0,,,,,,True,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),8.586776090789288,7.038883061383061,15.683463768044758,0.0657765396555666,,,,,,vo2max_relative,squared_error,73.0,,,7.0,15.0,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),8.102630178169292,6.407883905310377,14.894121993976016,0.1681547772161514,,,,,,vo2max_relative,squared_error,43.0,sqrt,,14.0,37.0,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),8.372343501413159,6.557403846153849,14.909635664003677,0.1118535810321,,,,,,vo2max_relative,squared_error,16.0,,,14.0,24.0,,,,,,,,,,
CAPILAR,0.8,Decision Tree Regressor (BayesSearchCV),8.356351270692828,6.546283335165271,15.405282436779505,0.1152432836311544,,,,,,vo2max_relative,squared_error,70.0,sqrt,,16.0,18.0,,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),8.071838906552419,6.5773809523809526,15.330004110859,0.2516465929716716,,,,,,vo2max_relative,absolute_error,67.0,,,5.0,36.0,,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),7.915626498082314,6.557142857142857,15.212756345401935,0.2803317290525192,,,,,,vo2max_relative,absolute_error,1.0,,,20.0,50.0,,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),7.672442182748531,6.248809523809523,14.584097325289028,0.3238718508750706,,,,,,vo2max_relative,absolute_error,20.0,,,6.0,40.0,,,,,,,,,,
PLASMA,0.8,Decision Tree Regressor (BayesSearchCV),7.780664457546885,6.410294636373067,14.68584659107842,0.3046633165297108,,,,,,vo2max_relative,squared_error,1.0,sqrt,,17.0,41.0,,,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (BayesSearchCV),7.719527907269402,6.120000000000001,13.943407038847663,0.2046194713994021,,,,,,vo2max_relative,absolute_error,39.0,log2,,17.0,42.0,,,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (BayesSearchCV),8.556003298542118,6.568133903133903,15.311367118125949,0.0229082227653171,,,,,,vo2max_relative,squared_error,1.0,log2,,19.0,40.0,,,,,,,,,,
SALIVA,0.8,Decision Tree Regressor (BayesSearchCV),8.512047176504973,6.871388888888891,15.744133091453032,0.0329219731354164,,,,,,vo2max_relative,squared_error,1.0,,,20.0,2.0,,,,,,,,,,
SERUM,0.8,Decision Tree Regressor (BayesSearchCV),8.78578356341614,6.36116359607408,16.16709876938919,0.1242962883124192,,,,,,vo2max_relative,squared_error,22.0,log2,,1.0,39.0,,,,,,,,,,
SERUM,0.8,Decision Tree Regressor (BayesSearchCV),8.682817083182162,6.94375,16.8317188923708,0.1447019261101527,,,,,,vo2max_relative,absolute_error,42.0,sqrt,,18.0,27.0,,,,,,,,,,
SERUM,0.8,Decision Tree Regressor (BayesSearchCV),9.093916235593992,7.27125,18.34619327491062,0.0617942525769849,,,,,,vo2max_relative,absolute_error,37.0,,,9.0,28.0,,,,,,,,,,
URINE,0.8,Decision Tree Regressor (BayesSearchCV),10.254926894473943,8.200058595657412,20.76793909154869,-0.1288537510618783,,,,,,vo2max_relative,squared_error,1.0,log2,,1.0,41.0,,,,,,,,,,
URINE,0.8,Decision Tree Regressor (BayesSearchCV),11.249118958042397,8.848952247064377,22.592101947288825,-0.3583433528488111,,,,,,vo2max_relative,squared_error,100.0,sqrt,,11.0,43.0,,,,,,,,,,
URINE,0.8,Decision Tree Regressor (BayesSearchCV),10.562406308208155,8.478866717578137,21.141316220460844,-0.1975627594692457,,,,,,vo2max_relative,squared_error,3.0,sqrt,,3.0,40.0,,,,,,,,,,
URINE,0.8,Decision Tree Regressor (BayesSearchCV),11.44971945830157,9.08002083053234,23.114064226804253,-0.4072207632261555,,,,,,vo2max_relative,squared_error,100.0,sqrt,,17.0,50.0,,,,,,,,,,
CAPILAR,0.8,XGBoost Regressor (BayesSearchCV),8.619288211117249,7.040121518648591,16.30413399055093,0.0586886438014349,,,,0.02002708472103559,,vo2max_relative,,12.0,,383.0,,,,0.5,0.5193392427667946,,,,5.0,10.0,,
CAPILAR,0.8,XGBoost Regressor (BayesSearchCV),7.757005060324428,6.054760585687099,13.888520196113358,0.237607453226363,,,,0.04305911406026412,,vo2max_relative,,4.0,,257.0,,,,0.6519383134631831,0.5728687720080897,,,,3.879699329870357,10.0,,
CAPILAR,0.8,XGBoost Regressor (BayesSearchCV),8.382518308052955,6.914033919114333,15.959233669018523,0.1096935623501699,,,,0.09167188615522028,,vo2max_relative,,8.0,,51.0,,,,0.7220132763228648,0.5179108294990835,,,,1.497265571571189,9.0,,
CAPILAR,0.8,XGBoost Regressor (BayesSearchCV),7.655493788648674,6.025633141933343,13.763167962666625,0.2574308383312449,,,,0.019725816115905126,,vo2max_relative,,3.0,,310.0,,,,0.75345245802306,0.5300774057480481,,,,4.79961346425008,8.0,,
PLASMA,0.8,XGBoost Regressor (BayesSearchCV),8.64392195355467,6.464164897373744,15.382885925237048,0.1418100144324674,,,,0.05288985514701102,,vo2max_relative,,9.0,,459.0,,,,0.7129818763377073,0.9063376196592086,,,,1.7523636274144758,7.0,,
PLASMA,0.8,XGBoost Regressor (BayesSearchCV),8.206376669534567,6.513772292364212,14.820311920830385,0.2264922622691533,,,,0.01,,vo2max_relative,,1.0,,500.0,,,,0.5,0.5,,,,0.0,1.0,,
PLASMA,0.8,XGBoost Regressor (BayesSearchCV),8.759224962642305,6.796945553734188,16.250213573011866,0.1187621762448981,,,,0.014713503767160383,,vo2max_relative,,12.0,,382.0,,,,0.8949677029858809,0.5398256528474236,,,,2.196312715788218,5.0,,
PLASMA,0.8,XGBoost Regressor (BayesSearchCV),8.110150071783421,6.314538901192802,14.290390094611489,0.2445259529539963,,,,0.017589411169686684,,vo2max_relative,,14.0,,150.0,,,,0.5,0.5,,,,0.3507868394256999,7.0,,
SALIVA,0.8,XGBoost Regressor (BayesSearchCV),7.953871761616699,6.13316162109375,14.485240692728352,0.155595301509325,,,,0.01,,vo2max_relative,,8.0,,259.0,,,,0.8035032894963985,0.5,,,,3.888296724432575,2.0,,
SALIVA,0.8,XGBoost Regressor (BayesSearchCV),8.240790686275396,6.526016896565756,15.291868172411322,0.0935763290426754,,,,0.01149681016528579,,vo2max_relative,,1.0,,84.0,,,,0.8801848354794097,0.5,,,,1.6853090488715503,9.0,,
SALIVA,0.8,XGBoost Regressor (BayesSearchCV),7.9267203790634815,6.060166982014975,14.4296805641326,0.161350391415931,,,,0.014914816810682203,,vo2max_relative,,2.0,,410.0,,,,0.5017259557621537,0.681801303574749,,,,2.7894216523529503,8.0,,
SALIVA,0.8,XGBoost Regressor (BayesSearchCV),7.918794269714631,6.20610548231337,14.558944531909956,0.1630267228183872,,,,0.036503782700350054,,vo2max_relative,,3.0,,50.0,,,,0.6327208165755684,0.5,,,,0.0,10.0,,
SERUM,0.8,XGBoost Regressor (BayesSearchCV),8.069128369536953,5.857212924957276,15.1392170309285,0.2613317383241745,,,,0.016231696134316537,,vo2max_relative,,5.0,,234.0,,,,0.9060214486246132,0.6374975600353858,,,,2.926312650656614,4.0,,
SERUM,0.8,XGBoost Regressor (BayesSearchCV),7.21703861116297,5.541794204711914,14.109152919418577,0.4090996496374568,,,,0.010208043727917272,,vo2max_relative,,1.0,,451.0,,,,0.9541720388047412,0.611131155036169,,,,0.9113478313045454,9.0,,
SERUM,0.8,XGBoost Regressor (BayesSearchCV),8.003291399213634,5.733625144958497,14.711504836329588,0.2733363272700213,,,,0.024277183606666173,,vo2max_relative,,10.0,,330.0,,,,0.8709380219564966,0.5,,,,3.7920712543549824,3.0,,
SERUM,0.8,XGBoost Regressor (BayesSearchCV),7.242853066877104,5.564051189422607,14.1639485042896,0.4048649344927862,,,,0.013427871486028701,,vo2max_relative,,7.0,,227.0,,,,0.5,0.5,,,,5.0,10.0,,
