Sample Type,Train Percentage,Model,RMSE,MAE,MAPE,R²,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,criterion,max_depth,max_features,n_estimators,min_samples_leaf,min_samples_split,splitter,colsample_bytree,subsample,learning_rate_init,max_iter,bootstrap,gamma,min_child_weight
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.6662975781797256,0.8642857142857142,5.50496082391454,-0.18000664951285117,,,,,,rdw,absolute_error,,,,4.0,2.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.4812116983193506,0.6464285714285717,4.015272849354386,0.06757567434733547,,,,,,rdw,absolute_error,10.0,,,4.0,2.0,random,,,,,,,
SALIVA,0.8,Decision Tree Regressor (GridSearchCV),1.6662975781797256,0.8642857142857142,5.50496082391454,-0.18000664951285117,,,,,,rdw,absolute_error,,,,4.0,2.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.3106380008624023,0.5972862554112552,3.773032925987612,0.18827282742679197,,,,,,rdw,squared_error,,,,4.0,10.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.4459298635658209,0.6347321428571426,3.9889732093304695,0.0120407593343127,,,,,,rdw,squared_error,,,,4.0,2.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.3106380008624023,0.5972862554112552,3.773032925987612,0.18827282742679197,,,,,,rdw,squared_error,,,,4.0,10.0,random,,,,,,,
SERUM,0.8,Decision Tree Regressor (GridSearchCV),1.4459298635658209,0.6347321428571426,3.9889732093304695,0.0120407593343127,,,,,,rdw,squared_error,,,,4.0,2.0,random,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.5991280342734921,0.9164943609022554,5.982825669490329,-0.16281861797382446,,,,,,rdw,squared_error,,,,4.0,10.0,random,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.6098790408958648,0.9447368421052633,6.167468032772579,-0.17850653583451148,,,,,,rdw,absolute_error,10.0,,,4.0,2.0,best,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.5991280342734921,0.9164943609022554,5.982825669490329,-0.16281861797382446,,,,,,rdw,squared_error,,,,4.0,10.0,random,,,,,,,
URINE,0.8,Decision Tree Regressor (GridSearchCV),1.6098790408958648,0.9447368421052633,6.167468032772579,-0.17850653583451148,,,,,,rdw,absolute_error,10.0,,,4.0,2.0,best,,,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),1.3599140992947083,0.6326943813226159,3.9379673285542633,0.1096714451261076,,,,0.1,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),1.3558887361616434,0.6935230939816204,4.362002014481334,0.11493441218312483,,,,0.1,,rdw,,6.0,,50.0,,,,1.0,0.8,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),1.3599140992947083,0.6326943813226159,3.9379673285542633,0.1096714451261076,,,,0.1,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
CAPILAR,0.8,XGBoost Regressor (GridSearchCV),1.3558887361616434,0.6935230939816204,4.362002014481334,0.11493441218312483,,,,0.1,,rdw,,6.0,,50.0,,,,1.0,0.8,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),1.4005947996340538,0.7006775311061313,4.4718984557025765,0.02828109976661941,,,,0.1,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),1.4144494838627326,0.7209697496323357,4.61800351807563,0.008961528073480829,,,,0.01,,rdw,,6.0,,100.0,,,,0.8,0.8,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),1.4005947996340538,0.7006775311061313,4.4718984557025765,0.02828109976661941,,,,0.1,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
PLASMA,0.8,XGBoost Regressor (GridSearchCV),1.4144494838627326,0.7209697496323357,4.61800351807563,0.008961528073480829,,,,0.01,,rdw,,6.0,,100.0,,,,0.8,0.8,,,,,
SALIVA,0.8,XGBoost Regressor (GridSearchCV),1.5380585804956546,0.7143982614789689,4.475433646838871,-0.005368056215379058,,,,0.01,,rdw,,3.0,,100.0,,,,0.8,0.8,,,,,
SALIVA,0.8,XGBoost Regressor (GridSearchCV),1.5622896868368583,0.7087502888270785,4.441973848472487,-0.03729541947651316,,,,0.01,,rdw,,10.0,,50.0,,,,1.0,1.0,,,,,
SALIVA,0.8,XGBoost Regressor (GridSearchCV),1.5380585804956546,0.7143982614789689,4.475433646838871,-0.005368056215379058,,,,0.01,,rdw,,3.0,,100.0,,,,0.8,0.8,,,,,
SALIVA,0.8,XGBoost Regressor (GridSearchCV),1.5622896868368583,0.7087502888270785,4.441973848472487,-0.03729541947651316,,,,0.01,,rdw,,10.0,,50.0,,,,1.0,1.0,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),1.404940796114449,0.6540369701385498,4.141986719146643,0.06725996115114619,,,,0.1,,rdw,,3.0,,50.0,,,,1.0,0.8,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),1.3849218067001516,0.6239208650588989,3.9220897856368104,0.09365179314341499,,,,0.1,,rdw,,6.0,,50.0,,,,1.0,0.8,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),1.404940796114449,0.6540369701385498,4.141986719146643,0.06725996115114619,,,,0.1,,rdw,,3.0,,50.0,,,,1.0,0.8,,,,,
SERUM,0.8,XGBoost Regressor (GridSearchCV),1.3849218067001516,0.6239208650588989,3.9220897856368104,0.09365179314341499,,,,0.1,,rdw,,6.0,,50.0,,,,1.0,0.8,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),1.4957895595754302,0.7569920690436113,4.837747015325445,-0.017387735441617647,,,,0.01,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),1.5276527315292532,0.7727090885764675,4.959427258308619,-0.06119399717431828,,,,0.01,,rdw,,10.0,,50.0,,,,1.0,1.0,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),1.4957895595754302,0.7569920690436113,4.837747015325445,-0.017387735441617647,,,,0.01,,rdw,,3.0,,50.0,,,,0.8,0.8,,,,,
URINE,0.8,XGBoost Regressor (GridSearchCV),1.5276527315292532,0.7727090885764675,4.959427258308619,-0.06119399717431828,,,,0.01,,rdw,,10.0,,50.0,,,,1.0,1.0,,,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),1.7167666064353964,0.9756433863967435,6.229155113075583,-0.41889371036658063,tanh,0.045603238863722334,,,sgd,rdw,,,,,,,,,,0.0004561323414570181,2554.0,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),1.4734479133808167,0.7263369349918213,4.565672448171536,-0.0451940424994135,logistic,0.0002657481829496314,,,sgd,rdw,,,,,,,,,,0.00016211311660698717,2312.0,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),1.3899767204791704,0.6805067706477151,4.258924286931856,0.06987267559964283,logistic,5.0831555453533403e-05,,,adam,rdw,,,,,,,,,,0.003786874246824346,2568.0,,,
CAPILAR,0.8,MLP Regressor (BayesSearchCV),1.4303294290879514,0.6931984185173834,4.3218627912535865,0.015083307053088135,relu,0.0009642491631248252,,,adam,rdw,,,,,,,,,,0.0018867658258565586,1279.0,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),1.3505661369046347,0.7525006494961592,4.880621041212959,0.09646008322429644,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.0001,3000.0,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),1.413298342328186,0.7206724301394221,4.5903768061413786,0.010573973527688185,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.00010233516140914586,500.0,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),1.3505661369046358,0.7525006494961595,4.880621041212961,0.09646008322429522,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.0001,3000.0,,,
PLASMA,0.8,MLP Regressor (BayesSearchCV),1.4256852000340956,0.7303198231450196,4.700106849675282,-0.006845685688315006,relu,0.053537615805642466,,,sgd,rdw,,,,,,,,,,0.001965444612602397,834.0,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),1.6057697315339634,0.7931935116452751,5.045737415470702,-0.09583675536866254,logistic,0.0012453332924938479,,,sgd,rdw,,,,,,,,,,0.0001,2380.0,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),1.622342112864812,0.9066405118514067,5.888889657601726,-0.11857269040063478,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.008077910548917412,2696.0,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),1.6876082486624846,1.0115146950530427,6.5712084448511625,-0.2103824202497555,logistic,1.4996338754489656e-05,,,sgd,rdw,,,,,,,,,,0.0001710120231123954,3000.0,,,
SALIVA,0.8,MLP Regressor (BayesSearchCV),1.5360691076625848,0.7036651064296658,4.4301646449915015,-0.002768858934208973,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.01,2244.0,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),1.5207717266874279,0.8282659353679215,5.329268752068708,-0.092880387106266,logistic,0.06557454160922949,,,adam,rdw,,,,,,,,,,0.00047490228355863705,2953.0,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),1.3375439578912527,0.6283270412829234,4.022113110325115,0.1546030039586892,logistic,0.1,,,sgd,rdw,,,,,,,,,,0.007668506470087242,2790.0,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),1.3302696333353703,0.7861158525052169,5.163576770416036,0.16377349787833906,logistic,0.1,,,sgd,rdw,,,,,,,,,,0.01,2716.0,,,
SERUM,0.8,MLP Regressor (BayesSearchCV),1.457698663597816,0.7167410383335462,4.5826791631081765,-0.004107206088695303,tanh,2.181342855279518e-06,,,sgd,rdw,,,,,,,,,,0.0001,624.0,,,
URINE,0.8,MLP Regressor (BayesSearchCV),1.5975672318914331,0.8395295070632686,5.314469819662056,-0.16054982609003776,logistic,0.004575853400501985,,,sgd,rdw,,,,,,,,,,0.005470012153397543,2806.0,,,
URINE,0.8,MLP Regressor (BayesSearchCV),1.5354051208880635,0.7927883468156546,5.034765376478519,-0.0719918220350908,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.0001,3000.0,,,
URINE,0.8,MLP Regressor (BayesSearchCV),1.5008079796872067,0.7667425880414708,4.885959215418181,-0.024225921863852973,logistic,1e-06,,,sgd,rdw,,,,,,,,,,0.0001065243557781995,618.0,,,
URINE,0.8,MLP Regressor (BayesSearchCV),1.5299007846928423,0.7592091293924028,4.791614660953089,-0.06431954499174974,logistic,0.0007637152317075057,,,sgd,rdw,,,,,,,,,,0.00011654061149813347,1607.0,,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),1.342334612895677,0.6297127315173062,3.9242419223769387,0.13254105997404075,,,,,,rdw,,15.0,,284.0,1.0,2.0,,,,,,True,,
CAPILAR,0.8,Random Forest Regressor (BayesSearchCV),1.3704932615388767,0.6514126249376563,4.051427630467564,0.09576532191012288,,,,,,rdw,,11.0,,300.0,2.0,2.0,,,,,,True,,
